"","h_a","xG","xGA","npxG","npxGA","deep","deep_allowed","scored","conceded","xpts","result","date","wins","draws","losses","pts","npxGD","team","ppda_cal","allowed_ppda","cum_points","round","cum_goal","cum_conceded","Referee","HS","HST","HF","HC","HY","HR","AS","AST","AF","AC","AY","AR","B365H","B365D","B365A","HtrgPerc","AtrgPerc","match_id","shots","shots_target","yellow_cards","red_cards","fouls","corners"
"57","a",1.22762,1.32793,1.22762,0.56676,4,4,1,1,1.2223,"d",2019-08-25,0,1,0,1,0.66086,"Burnley",14.6190476190476,11.8333333333333,4,3,5,3,"C Pawson",17,2,9,4,0,0,13,4,11,3,2,0,1.85,3.4,4.5,0.117647058823529,0.307692307692308,29,13,4,2,0,11,3
"58","a",0.51428,1.25927,0.51428,1.25927,5,8,1,0,0.6756,"w",2019-08-25,1,0,0,3,-0.74499,"Newcastle United",32.3,4.84210526315789,3,3,2,4,"M Dean",17,2,10,6,2,0,8,3,5,6,2,0,1.2,6.5,14,0.117647058823529,0.375,29,8,3,2,0,5,6
"59","h",1.25927,0.51428,1.25927,0.51428,8,5,0,1,2.0469,"l",2019-08-25,0,0,1,0,0.74499,"Tottenham",4.84210526315789,32.3,4,3,5,4,"M Dean",17,2,10,6,2,0,8,3,5,6,2,0,1.2,6.5,14,0.117647058823529,0.375,30,17,2,2,0,10,6
"60","h",1.32793,1.22762,0.56676,1.22762,4,4,1,1,1.4707,"d",2019-08-25,0,1,0,1,-0.66086,"Wolves",11.8333333333333,14.6190476190476,3,3,2,2,"C Pawson",17,2,9,4,0,0,13,4,11,3,2,0,1.85,3.4,4.5,0.117647058823529,0.307692307692308,30,17,2,0,0,9,4
"61","a",1.90356,0.769616,1.90356,0.769616,13,6,1,1,2.202,"d",2019-08-31,0,1,0,1,1.133944,"Man United",13.5714285714286,6.66666666666667,5,4,7,4,"M Dean",10,2,17,2,1,1,21,8,7,3,2,0,3.8,3.3,2.05,0.2,0.380952380952381,31,21,8,2,0,7,3
"62","h",0.769616,1.90356,0.769616,1.90356,6,13,1,1,0.5769,"d",2019-08-31,0,1,0,1,-1.133944,"Southampton",6.66666666666667,13.5714285714286,4,4,4,6,"M Dean",10,2,17,2,1,1,21,8,7,3,2,0,3.8,3.3,2.05,0.2,0.380952380952381,31,10,2,1,1,17,2
"63","a",0.30354,1.41394,0.30354,1.41394,5,13,0,1,0.4799,"l",2019-08-31,0,0,1,0,-1.1104,"Aston Villa",9.04,9,3,4,4,6,"K Friend",22,5,15,13,2,0,10,2,16,2,4,1,2.15,3.3,3.5,0.227272727272727,0.2,32,10,2,4,1,16,2
"64","a",0.554726,2.23766,0.554726,2.23766,7,10,1,3,0.2616,"l",2019-08-31,0,0,1,0,-1.682934,"Bournemouth",10,6.91428571428571,4,4,5,8,"P Bankes",13,5,9,4,1,0,8,2,11,5,3,0,1.7,4,4.75,0.384615384615385,0.25,32,8,2,3,0,11,5
"65","a",0.861035,2.30818,0.861035,2.30818,7,16,0,4,0.4379,"l",2019-08-31,0,0,1,0,-1.447145,"Brighton",21.625,11.4375,4,4,4,7,"J Moss",15,6,10,8,1,0,6,2,6,1,1,0,1.08,10,26,0.4,0.333333333333333,33,6,2,1,0,6,1
"66","h",2.30579,1.04649,2.30579,1.04649,4,5,2,2,2.2781,"d",2019-08-31,0,1,0,1,1.2593,"Chelsea",14.8823529411765,20.9166666666667,5,4,6,9,"S Attwell",13,5,6,3,0,0,8,2,11,4,1,0,1.36,4.75,9,0.384615384615385,0.25,33,13,5,0,0,6,3
"67","h",1.41394,0.30354,1.41394,0.30354,13,5,1,0,2.2757,"w",2019-08-31,1,0,0,3,1.1104,"Crystal Palace",9,9.04,7,4,3,2,"K Friend",22,5,15,13,2,0,10,2,16,2,4,1,2.15,3.3,3.5,0.227272727272727,0.2,34,22,5,2,0,15,13
"68","h",2.23766,0.554726,2.23766,0.554726,10,7,3,1,2.6031,"w",2019-08-31,1,0,0,3,1.682934,"Leicester",6.91428571428571,10,8,4,6,3,"P Bankes",13,5,9,4,1,0,8,2,11,5,3,0,1.7,4,4.75,0.384615384615385,0.25,34,13,5,1,0,9,4
"69","h",2.30818,0.861035,2.30818,0.861035,16,7,4,0,2.3849,"w",2019-08-31,1,0,0,3,1.447145,"Man City",11.4375,21.625,10,4,14,3,"J Moss",15,6,10,8,1,0,6,2,6,1,1,0,1.08,10,26,0.4,0.333333333333333,35,15,6,1,0,10,8
"70","h",1.04131,1.1068,1.04131,1.1068,2,6,1,1,1.3018,"d",2019-08-31,0,1,0,1,-0.06549,"Newcastle United",19.6,12,4,4,3,5,"G Scott",13,5,5,6,2,0,13,3,11,5,3,0,2.5,3.25,2.87,0.384615384615385,0.230769230769231,35,13,5,2,0,5,6
"71","a",1.1674,2.20657,1.1674,2.20657,5,12,0,2,0.6576,"l",2019-08-31,0,0,1,0,-1.03917,"Norwich",8.74074074074074,7.84210526315789,3,4,6,10,"P Tierney",18,8,16,8,2,0,8,3,10,2,1,0,1.85,3.9,3.9,0.444444444444444,0.375,36,8,3,1,0,10,2
"72","a",1.04649,2.30579,1.04649,2.30579,5,4,2,2,0.527,"d",2019-08-31,0,1,0,1,-1.2593,"Sheffield United",20.9166666666667,14.8823529411765,5,4,5,5,"S Attwell",13,5,6,3,0,0,8,2,11,4,1,0,1.36,4.75,9,0.384615384615385,0.25,36,8,2,1,0,11,4
"73","a",1.1068,1.04131,1.1068,1.04131,6,2,1,1,1.3861,"d",2019-08-31,0,1,0,1,0.06549,"Watford",12,19.6,1,4,2,8,"G Scott",13,5,5,6,2,0,13,3,11,5,3,0,2.5,3.25,2.87,0.384615384615385,0.230769230769231,37,13,3,3,0,11,5
"74","h",2.20657,1.1674,2.20657,1.1674,12,5,2,0,2.1159,"w",2019-08-31,1,0,0,3,1.03917,"West Ham",7.84210526315789,8.74074074074074,7,4,6,7,"P Tierney",18,8,16,8,2,0,8,3,10,2,1,0,1.85,3.9,3.9,0.444444444444444,0.375,37,18,8,2,0,16,8
"75","h",0.61739,1.20057,0.61739,1.20057,0,11,0,3,0.8487,"l",2019-08-31,0,0,1,0,-0.58318,"Burnley",16.2631578947368,6.20833333333333,4,4,5,6,"C Kavanagh",7,2,10,6,0,0,15,7,16,4,0,0,9.5,5.5,1.3,0.285714285714286,0.466666666666667,38,7,2,0,0,10,6
"76","a",1.20057,0.61739,1.20057,0.61739,11,0,3,0,1.8342,"w",2019-08-31,1,0,0,3,0.58318,"Liverpool",6.20833333333333,16.2631578947368,12,4,12,3,"C Kavanagh",7,2,10,6,0,0,15,7,16,4,0,0,9.5,5.5,1.3,0.285714285714286,0.466666666666667,38,15,7,0,0,16,4
"77","h",1.48842,2.00172,1.48842,2.00172,4,5,3,2,0.9824,"w",2019-09-01,1,0,0,3,-0.5133,"Everton",5.33333333333333,20.1666666666667,7,4,4,4,"A Taylor",15,6,12,7,1,0,8,5,12,7,4,1,2.2,3.25,3.5,0.4,0.625,39,15,6,1,0,12,7
"78","a",2.00172,1.48842,2.00172,1.48842,5,4,2,3,1.7717,"l",2019-09-01,0,0,1,0,0.5133,"Wolves",20.1666666666667,5.33333333333333,3,4,4,5,"A Taylor",15,6,12,7,1,0,8,5,12,7,4,1,2.2,3.25,3.5,0.4,0.625,39,8,5,4,1,12,7
"79","h",1.92509,1.95514,1.92509,1.19397,12,6,2,2,1.2919,"d",2019-09-01,0,1,0,1,0.73112,"Arsenal",6.78787878787879,12.1764705882353,7,4,6,6,"M Atkinson",26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.692307692307692,40,26,8,3,0,13,11
"80","a",1.95514,1.92509,1.19397,1.92509,6,12,2,2,1.4545,"d",2019-09-01,0,1,0,1,-0.73112,"Tottenham",12.1764705882353,6.78787878787879,5,4,7,6,"M Atkinson",26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.692307692307692,40,13,9,5,0,19,6
"81","h",2.93281,0.291073,2.93281,0.291073,19,4,3,1,2.882,"w",2019-09-14,1,0,0,3,2.641737,"Liverpool",6.95833333333333,41.9,15,5,15,4,"A Marriner",21,9,5,10,0,0,8,1,4,1,0,0,1.14,8.5,17,0.428571428571429,0.125,41,21,9,0,0,5,10
"82","a",0.291073,2.93281,0.291073,2.93281,4,19,1,3,0.0716,"l",2019-09-14,0,0,1,0,-2.641737,"Newcastle United",41.9,6.95833333333333,4,5,4,8,"A Marriner",21,9,5,10,0,0,8,1,4,1,0,0,1.14,8.5,17,0.428571428571429,0.125,41,8,1,0,0,4,1
"83","h",1.68545,0.341654,1.68545,0.341654,13,4,1,1,2.4816,"d",2019-09-14,0,1,0,1,1.343796,"Brighton",3.96428571428571,12.1,5,5,5,8,"M Oliver",14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.357142857142857,0.142857142857143,42,14,5,0,0,13,3
"84","a",0.341654,1.68545,0.341654,1.68545,4,13,1,1,0.3291,"d",2019-09-14,0,1,0,1,-1.343796,"Burnley",12.1,3.96428571428571,5,5,6,7,"M Oliver",14,5,13,3,0,0,7,1,7,6,2,0,2.15,3.3,3.5,0.357142857142857,0.142857142857143,42,7,1,2,0,7,6
